Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                                                                                         |Код KKS документа                                                            |Пакет РД                                      |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                         |Разработчики РД (актуальные)   |
14   | 00UTH.T.TTT.D-1040      |Резервуар для сбора нефтесодержащих стоков. Технологические трубопроводы                                                                                                                                  |-                                                                            |Смена пакет рд с <None> на <03.38-U0-2-0005>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-14> на <2023-03-21>    |JV=>Титан-2=>Ростовский ПСП    |
15   | 00UYP.T.S00.D-1000      |Внутриплощадочные сети водопровода GKD, SGA                                                                                                                                                               |AKU.1480.00UYP.0.NW.TB0001                                                   |Смена пакет рд с <None> на <03.41-U0-2-0038>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>    |Титан-2=>ТП                    |
16   | 00UYP.T.GQA.D-1000      |Внутриплощадочные сети канализации GQA                                                                                                                                                                    |AKU.1480.00UYP.0.NW.TB0002                                                   |Смена пакет рд с <None> на <03.41-U0-2-0039>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>    |Титан-2=>ТП                    |
17   | 00UYP.T.G00.D-1000      |Внутриплощадочные сети канализации GUD, GMA, GML                                                                                                                                                          |AKU.1480.00UYP.0.NW.TB0003                                                   |Смена пакет рд с <None> на <03.41-U0-2-0040>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>    |Титан-2=>ТП                    |
18   | 10UQA.T.PA0.D-1000      |Система основной охлаждающей воды. Монтажно-сборочные чертежи трубопроводов (10PAB)                                                                                                                       |AKU.1324.10UQA.PAB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0005>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>C-плюс            |
19   | 10UQA.T.P00.D-1000      |Система охлаждающей воды неответственных потребителей здания 10UMA. Монтажно-сборочные чертежи трубопроводов (10РС01)                                                                                     |AKU.1324.10UQA.PCB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0009>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |Смена дата выпуска рд по графику с заказчиком с <None> на <2022-08-19>|-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>C-плюс            |
20   | 10UQA.T.GAF.D-2010      |Система подачи морской воды на опре-ую установку 10, 01-02UXA (10GAF). Монтажно-сборочные чертежи трубопроводов                                                                                           |AKU.1324.10UQA.GAF.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0068>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>C-плюс                |
21   | 10UQA.T.TTT.D-1010      |Установочные чертежи гидромеханического оборудования                                                                                                                                                      |AKU.1324.10UQA.PAA.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0011>  |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |Смена дата выпуска рд по графику с заказчиком с <None> на <2022-08-19>|Смена дата статуса заказчика с <2022-12-23> на <2023-01-03>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>C-плюс            |
22   | 10UQN.T.TTT.D-1000      |Технологическая часть                                                                                                                                                                                     |AKU.1324.10UQN.PAB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.80-U1-2-0001>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2020-03-28>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>ЭСТ               |
23   | 03UBZ.T.TTT.D-1030      |(03UBZ) Вентиляция                                                                                                                                                                                        |AKU.1227.03UBZ.SAE.HV.TB0001                                                 |Смена пакет рд с <None> на <02.34-U0-2-0001>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2019-10-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>SEP=>Львовский ТЭП|
24   | 11UEJ.T.SAD.D-1000      |Системы отопления, вентиляции и кондиционирования. Компоновочные чертежи                                                                                                                                  |AKU.0120.11UEJ.0.HV.TB0001                                                   |Смена пакет рд с <None> на <02.24.1-U1-2-0003>|-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-29>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
25   | 01UGT.T.GKD.D-1000      |Колодцы на сетях водопровода и канализации в районе маслодизельного хозяйства и очистных сооружений (GKD)                                                                                                 |AKU.0120.01UGT.0.NW.TB0016                                                   |Смена пакет рд с <None> на <06.08-U0-2-0016>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
26   | 03UGF.T.S00.D-1010      |Отопление и вентиляция                                                                                                                                                                                    |AKU.0120.03UGF.SAS.HV.TB0001                                                 |Смена пакет рд с <None> на <06.02-U0-2-0003>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
27   | 00UGD.T.SAS.D-2300      |Аксонометрические схемы                                                                                                                                                                                   |AKU.0130.00UGD.SAS.HV.TB0002                                                 |Смена пакет рд с <None> на <03.11-U0-2-0068>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
28   | 00UGD.T.SAS.D-2280      |Компоновочные чертежи вентиляции                                                                                                                                                                          |AKU.0130.00UGD.SAS.HV.TB0001                                                 |Смена пакет рд с <None> на <03.11-U0-2-0066>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
29   | 00UGD.T.SAS.D-2290      |Установочные чертежи вентиляции                                                                                                                                                                           |AKU.0130.00UGD.SAS.HV.TB0003                                                 |Смена пакет рд с <None> на <03.11-U0-2-0067>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
30   | 00UGD.T.STG.D-2220      |Общестанционная химическая лаборатория 00STG20. Заказная спецификация лабораторной мебели                                                                                                                 |AKU.0130.00UGD.STG.TM.TB0008                                                 |Смена пакет рд с <None> на <03.11-U0-2-0059>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
31   | 00UGD.T.STG.D-2210      |Общестанционная химическая лаборатория 00STG20. Заказная спецификация приборов                                                                                                                            |AKU.0130.00UGD.STG.TM.TB0011                                                 |Смена пакет рд с <None> на <03.11-U0-2-0057>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
32   | 00UGD.T.STG.D-2180      |Общестанционная химическая лаборатория 00STG20. Организация лаборатории                                                                                                                                   |AKU.0130.00UGD.STG.TM.TB0003                                                 |Смена пакет рд с <None> на <03.11-U0-2-0054>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
33   | 00UGD.T.STG.D-2240      |Экспресс-лаборатория 00STG30. Организация лаборатории                                                                                                                                                     |AKU.0130.00UGD.STG.TM.TB0004                                                 |Смена пакет рд с <None> на <03.11-U0-2-0061>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
34   | 00UGD.T.STG.D-2270      |Экспресс-лаборатория STG30. Заказная спецификация приборов                                                                                                                                                |AKU.0130.00UGD.STG.TM.TB0001                                                 |Смена пакет рд с <None> на <03.11-U0-2-0065>  |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
35   | 00UGD.T.G00.D-2000      |Внутренние сети водопровода и канализации                                                                                                                                                                 |AKU.0130.00UGD.0.WK.TB0001                                                   |Смена пакет рд с <None> на <03.11-U0-2-0005>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-03>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
36   | 00UGD.T.SBS.D-2310      |Теплоснабжение, узел приготовления горячей воды                                                                                                                                                           |AKU.0130.00UGD.SBS.HV.TB0002                                                 |Смена пакет рд с <None> на <03.11-U0-2-0070>  |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |Титан-2=>АЭП                   |
37   | 12UJZ.T.KWA.D-1000      |Трубопроводы системы гидроиспытаний и продувки датчиков КИП дистиллятом                                                                                                                                   |AKU.0120.12UJZ.KWA.TM.TB0001                                                 |Смена пакет рд с <None> на <02.26-U1-2-0031>  |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-18>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <в производстве>|Титан-2=>АЭП                   |
