
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
73	00UEL.E.C00.D-1040	 | 	Система технологического наблюдения (промышленное телевидение)
74	00UEL.E.C00.D-1050	 | 	Система оповещения и поиска персонала
75	00UEL.E.C00.D-1060	 | 	Система часофикации
76	00UEL.E.C00.D-1070	 | 	Структурная схема системы оповещения
77	00UEL.J.C00.D-1010	 | 	ЗЗИ СКУ МПУ ОС. Этап 1
78	00UEL.J.C00.D-1020	 | 	ЗЗИ СКУ МПУ ОС. Этап 2
79	00UEL.J.C00.D-1030	 | 	СКУ МПУ ОС
80	00UEL.J.C00.D-1040	 | 	СКУ МПУ ОС. ТЗА
81	00UEL.J.C00.D-1050	 | 	СКУ ПЗ ОС. Рабочие чертежи
82	00UEL.J.C00.D-1060	 | 	СКУ МПУ ОС. ТЗА. Вентиляция и отопление
83	00UEL.J.CYE.D-1000	 | 	СКУ ПЗ ОС. Задание заводу на программное обеспечение и производство технических средств (Этап 1)
84	00UEL.J.CYE.D-1010	 | 	СКУ ПЗ ОС. Задание заводу на программное обеспечение и производство технических средств (Этап 2)
85	00UEL.J.CYE.D-1030	 | 	СКУ ПЗ ОС. Сеть пожарной сигнализации
86	00UEL.J.CYE.D-1040	 | 	СКУ ПЗ ОС. Сеть оповещения и управление эвакуацией людей при пожаре
87	00UEL.J.CYE.D-1050	 | 	СКУ ПЗ ОС. Задание на производство технических средств ПС и СОУЭ (Этап 2)
88	00UFA.J.C00.D-1000	 | 	Система общестанционной телефонной связи. Кабельные журналы
89	00UFA.J.C00.D-1010	 | 	Система оперативной громкоговорящей и телефонной связи. Кабельные журналы
90	00UFA.J.C00.D-1020	 | 	Система оповещения и поиска персонала. Кабельные журналы
91	00UFA.J.C00.D-1030	 | 	Система часофикации. Кабельные журналы
92	00UFA.J.C00.D-1040	 | 	Схемы электрических соединений щитов и сборок 0.4 кВ. Журнал силовых кабелей
93	00UFA.J.C00.D-1050	 | 	Журнал контрольных кабелей ТТК
94	00UFA.J.C00.D-1060	 | 	Кабельные соединения РК. Перечень кабельных соединений РК
95	00UFA.J.C00.D-1070	 | 	Компоновка оборудования РК
96	00UFA.J.C00.D-1080	 | 	МПУ. Журнал контрольных кабелей
97	00UFA.J.C00.D-1090	 | 	МПУ. Журнал силовых кабелей
98	00UFA.J.C00.D-1100	 | 	МПУ. Задание заводу (1 этап)
99	00UFA.J.C00.D-1110	 | 	МПУ. Перечень объектов управления. Запорная арматура
100	00UFA.J.C00.D-1120	 | 	МПУ. Схемы автоматизации
101	00UFA.J.C00.D-1130	 | 	МПУ. Схемы внешних подключений к сборкам 0,38 кВ
102	00UFA.J.C00.D-1140	 | 	МПУ. Схемы внешних подключения кабелей к шкафам ПТК
103	00UFA.J.C00.D-1150	 | 	МПУ. Схемы внешних подключения кабелей к шкафам вторичных преобразователей КИП
104	00UFA.J.C00.D-1160	 | 	МПУ. Схемы заполнения сборок 0,38 кВ
105	00UFA.J.C00.D-1170	 | 	МПУ. Схемы питания шкафов вторичных преобразователей КИП
106	00UFA.J.C00.D-1180	 | 	Перечень измерительных контуров РК
107	00UFA.J.C00.D-1190	 | 	Схемы ТТК
108	00UFA.J.C00.D-1240	 | 	МПУ. Задание заводу на шкафы вторичных преобразователей КИП
109	00UFA.J.C00.D-1260	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
110	00UFA.J.C00.D-1270	 | 	МПУ. Перечень объектов управления. Механизмы
111	00UFA.J.C00.D-1280	 | 	Кабельные соединения РК. Схемы электрических соединений РК
112	00UFA.J.C00.D-1290	 | 	Кабельные соединения РК. Схемы внешних соединений РК
113	00UFA.J.C00.D-1300	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. Нормальная эксплуатация
114	00UFA.J.C00.D-1330	 | 	МПУ. Задание заводу на сборки 0.38 кВ
115	00UFA.J.C00.D-1350	 | 	ПТК СКУ ЭЧ ОС СН. Схема структурная комплекса технических средств
116	00UFA.J.C00.D-1360	 | 	ПТК СКУ ЭЧ ОС СН. Таблицы внешних подключений
117	00UFA.J.C00.D-1370	 | 	ПТК СКУ ЭЧ ОС СН. Журнал кабелей от электрооборудования
118	00UFA.J.C00.D-1380	 | 	МПУ. Программное обеспечение технических средств (2 этап)
119	00UFA.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
120	00UFA.J.CYB.D-1000	 | 	Система оперативной громкоговорящей и телефонной связи
121	00UFA.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
122	00UFA.J.CYE.D-1000	 | 	СКУ ПЗ. Задание на производство и программное обеспечение ППКП
123	00UFA.J.CYE.D-1010	 | 	Система контроля и управления противопожарной защитой (СКУ ПЗ)
124	00UFA.J.CYE.D-1020	 | 	(СКУ ПЗ). Оповещение людей о пожаре
125	00UFA.J.CYE.D-1030	 | 	(СКУ ПЗ). Системы вентиляции
126	00UFA.J.CYE.D-1050	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
127	00UFA.J.CYF.D-1000	 | 	Система часофикации
128	00UFA.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
129	00UFC.E.B00.D-1010	 | 	Схемы электрических соединений сборок 0.4 кВ
130	00UFC.E.B00.D-1020	 | 	Компоновочный чертеж электрооборудования
131	00UFC.E.B00.D-1030	 | 	Чертежи заземления
132	00UFC.E.B00.D-1040	 | 	Схемы электрических соединений сборок 0.4 кВ. Задание заводу на сборки 0.4 кВ
133	00UFC.E.B00.D-1050	 | 	МПУ. Схемы внешних подключений к сборкам 0.38 кВ
134	00UFC.E.B00.D-1060	 | 	МПУ. Схемы заполнения сборок 0.38 кВ
135	00UFC.E.B00.D-1070	 | 	МПУ. Схемы питания АСРК
136	00UFC.E.B00.D-1080	 | 	МПУ. Схемы внешних присоединений к шкафам питания АСРК
137	00UFC.E.B00.D-1110	 | 	МПУ. Схемы внешних подключения кабелей к шкафам ПТК
138	00UFC.E.B00.D-1120	 | 	МПУ. Журнал силовых кабелей
139	00UFC.E.B00.D-1130	 | 	МПУ. Журнал контрольных кабелей
140	00UFC.E.B00.D-1140	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. Нормальная эксплуатация
141	00UFC.E.B00.D-1150	 | 	КРУ 0.38 кВ. Журнал контрольных кабелей
142	00UFC.E.B00.D-1160	 | 	Схемы ТТК
143	00UFC.E.B00.D-1170	 | 	КРУ 0.38 кВ. Таблицы внешних подключений
144	00UFC.E.B00.D-1180	 | 	Кабельные соединения РК. Перечень кабельных соединений РК
145	00UFC.E.B00.D-1190	 | 	Кабельные соединения РК. Схемы электрических соединений РК
146	00UFC.E.B00.D-1200	 | 	Кабельные соединения РК. Схемы внешних соединений РК
147	00UFC.E.B00.D-1210	 | 	Схемы электрических соединений сборок 0.4 кВ. Журнал силовых кабелей 0.4 кВ
148	00UFC.E.BJ0.D-1000	 | 	Электрическое освещение и розеточная сеть
149	00UFC.E.P00.D-1090	 | 	МПУ. Задание заводу (1 этап)
150	00UFC.E.P00.D-1100	 | 	МПУ. Программное обеспечение технических средств (2 этап)
151	00UFC.E.P00.D-1210	 | 	Журнал контрольных кабелей ТТК
152	00UFC.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
153	00UFC.J.CYB.D-1000	 | 	Система оперативной громкоговорящей и телефонной связи
154	00UFC.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
155	00UFC.J.CYE.D-1000	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
156	00UFC.J.CYF.D-1000	 | 	Система часофикации
157	00UFC.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
158	00UFC.J.JJJ.D-1020	 | 	МПУ. Задание заводу на сборки 0.38 кВ
159	00UFC.J.JJJ.D-1030	 | 	МПУ. Задание заводу на шкафы питания АСРК
160	00UFC.J.JJJ.D-1040	 | 	МПУ. Схемы автоматизации
161	00UFC.J.JJJ.D-1050	 | 	МПУ. Перечень объектов управления. Запорная арматура
162	00UFC.J.JJJ.D-1060	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
163	00UFC.J.JJJ.D-1070	 | 	МПУ. Перечень объектов управления. Механизмы
164	00UFC.J.JJJ.D-1080	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
165	00UFC.J.JJJ.D-1090	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
166	00UFC.J.JJJ.D-1100	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
167	00UFC.J.JJJ.D-1110	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
168	00UFC.J.JJJ.D-1120	 | 	СКУ ПЗ. Системы вентиляции
169	00UFC.J.JJJ.D-1130	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств СКУ ПЗ
170	00UFC.J.JJJ.D-1140	 | 	Перечень измерительных контуров РК
171	00UFC.J.JJJ.D-1150	 | 	Компоновка оборудования РК
172	00UFC.J.JJJ.D-1160	 | 	Система часофикации. Журнал контрольных кабелей
173	00UFC.J.JJJ.D-1240	 | 	СКУ ПЗ. Пожарная сигнализация
174	00UFC.J.JJJ.D-1250	 | 	СКУ ПЗ. Оповещение о пожаре
175	00UFC.T.KTK.D-1040	 | 	(Арматура) Трубопроводы системы спецканализации здания 00UFC (00KTK)
176	00UGD.E.CA1.D-1000	 | 	Журналы контрольных кабелей в части вторичных соединений
177	00UGD.J.C00.D-1030	 | 	Журналы контрольных кабелей в части автоматики
178	00UGD.J.C00.D-1040	 | 	СКУ ЭЧ ОС СН. Внешние присоединения кабелей
179	00UGD.J.C00.D-1070	 | 	СКУ ЭЧ ОС СН. Схемы вторичных соединений
180	00UGD.J.C00.D-1080	 | 	Схемы автоматизации. Вентиляция
181	00UGD.J.C00.D-1090	 | 	Схемы автоматизации. Технология
182	00UGD.J.C00.D-1100	 | 	Схемы внешних присоединений к шкафам автоматики. Вентиляция
183	00UGD.J.C00.D-1110	 | 	Схемы внешних присоединений к шкафам автоматики. Технология
184	00UGD.J.C00.D-1120	 | 	Схемы заполнения и внешние присоединения к сборкам в части автоматики
185	00UGD.J.C00.D-2350	 | 	Журналы контрольных кабелей КИП
186	00UGD.J.C00.D-2370	 | 	Вентиляция и отопление. Чертежи КИП
187	00UGD.J.C00.D-2450	 | 	Задание заводу на сборки 0,4 кВ в части автоматики
188	00UGD.J.C00.D-2460	 | 	Задание заводу на шкафы автоматики. Вентиляция. 2 этап
189	00UGD.J.C00.D-2550	 | 	Задание заводу на шкафы автоматики. Вентиляция. 1 этап
190	00UGD.J.C00.D-2570	 | 	Исходные данные для изготовления ПТК СКУ ХВО
191	00UGD.J.C00.D-2580	 | 	Рабочая документация в части КИП. ХОПО
192	00UGD.J.C00.D-2590	 | 	Журнал контрольных кабелей в части привязки ВХР
