
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
607	02UAF.J.SGC.D-1000	 | 	Автоматические установки водяного пожаротушения
608	02UBG.E.BCY.D-1010	 | 	РЗА КРУ 10 кВ. Принципиальные схемы
609	02UBG.E.BCY.D-1020	 | 	РЗА КРУ 10 кВ. Задание заводу
610	02UBG.E.BCY.D-1030	 | 	РЗА КРУ 10 кВ. Пояснительная записка, параметрирование
611	02UBG.E.BCY.D-1040	 | 	РЗА КРУ 10 кВ. Журнал контрольных кабелей
612	02UBG.E.BCY.D-1050	 | 	РЗА КРУ 10 кВ. Полные схемы
613	02UBG.E.BCY.D-1060	 | 	РЗА КРУ 10 кВ. Схемы подключения рядов зажимов
614	02UBG.E.CA1.D-1090	 | 	Журнал контрольных кабелей
615	02UBG.J.CXV.D-1000	 | 	(02UBG). МПУ. Задание заводу (1 этап)
616	02UBG.J.CXV.D-1010	 | 	(02UBG). МПУ. Программное обеспечение технических средств (2 этап)
617	02UBG.J.CY0.D-1000	 | 	(02UBG). Задание заводу на контроллеры АУПТ (1 этап)
618	02UBG.J.CYE.D-1000	 | 	(02UBG). Задание заводу на контроллер АУПС (1 этап)
619	02UEK.E.B00.D-1010	 | 	Электрическое освещение
620	02UEK.J.C00.D-1030	 | 	СКУ МПУ ОС. ТЗА
621	02UEK.J.C00.D-1040	 | 	СКУ ПЗ ОС. Система автоматизации
622	02UEK.J.C00.D-1050	 | 	СКУ ПЗ ОС. Системы пожарной безопасности
623	02UEK.J.C00.D-1060	 | 	СКУ МПУ ОС
624	02UEK.J.C00.D-1080	 | 	ЗЗИ СКУ МПУ ОС. Этап 2
625	02UEK.J.C00.D-1100	 | 	ЗЗИ СКУ МПУ ОС. Этап 1
626	02UEK.J.CY0.D-1010	 | 	Система оповещения и поиска персонала
627	02UEK.J.CY0.D-1030	 | 	Сети связи
628	02UEK.J.CYE.D-1010	 | 	ЗЗИ СКУ ПЗ. Этап 1
629	02UEK.J.CYE.D-1020	 | 	ЗЗИ СКУ ПЗ. Этап 2
630	02UEK.J.CYE.D-1030	 | 	СКУ ПЗ ОС. Система оповещения и управления эвакуацией (СОУЭ)
631	02UGM.J.CYE.D-1000	 | 	Пожарная сигнализация
632	02UGM.T.G00.D-1000	 | 	Система водоотведения
633	02UGV.J.CYE.D-1000	 | 	Пожарная сигнализация
634	02UGV.T.H00.D-1000	 | 	Система водоотведения
635	02UGW.T.G00.D-1000	 | 	Система водоотведения
636	02UJY.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
637	02UJY.J.CYA.D-1080	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
638	02UJY.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
639	02UJY.J.CYC.D-1090	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
640	02UJY.J.CYE.D-1100	 | 	СКУ ПЗ. Пожарная сигнализация. Оповещение о пожаре
641	02UJY.J.CYE.D-1110	 | 	СКУ ПЗ. Пожарная сигнализация. Оповещение о пожаре. Журнал контрольных кабелей
642	02UJY.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
643	02UJY.J.CYY.D-1100	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
644	02UKY.J.CYA.D-1000	 | 	Системы связи и сигнализации
645	02UKY.J.CYE.D-1010	 | 	Обеспечение пожарной безопасности
646	02UKY.J.CYE.D-1020	 | 	СКУ ПЗ ОС. Сеть пожарной сигнализации
647	02UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
648	02UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
649	02UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
650	02UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
651	02UUB.T.G00.D-1010	 | 	(02UUB). Системы водоотведения
652	02UXZ.E.BJ0.D-1020	 | 	Электротехническая часть
653	02UXZ.E.BJ0.D-1030	 | 	Кабельный журнал
654	02UXZ.J.CY0.D-1000	 | 	Связь и сигнализация
655	02UXZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
656	02UYP.E.EEE.D-1000	 | 	СКУ МПУ на базе релейных средств
657	02UYP.J.C00.D-1000	 | 	Системы связи и сигнализации
658	02UYP.J.CY0.D-1000	 | 	Автоматизация инженерных систем
659	02UYP.J.CY0.D-1010	 | 	Автоматизация пожарная
660	02UYP.J.CY0.D-1020	 | 	Пожарная сигнализация и оповещение людей о пожаре
661	02UYP.J.CYE.D-1020	 | 	СКУ ПЗ. Задание заводу на ПТК. 1 этап
662	02UYP.J.CYE.D-1030	 | 	СКУ ПЗ. Задание заводу на ПТК. 2 этап
663	02UYX.J.C00.D-1010	 | 	МПУ. Схемы автоматизации
664	02UYX.J.C00.D-1030	 | 	МПУ. Задание заводу
665	02UYX.J.C00.D-1040	 | 	МПУ. Алгоритмы
666	02UYX.J.C00.D-1050	 | 	МПУ. Задание заводу на сборки 0,4 кВ
667	02UYX.J.C00.D-1070	 | 	МПУ. Схемы внешних подключений к сборкам 0,4 кВ
668	02UYX.J.C00.D-1080	 | 	МПУ. Схемы внешних подключений к шкафу 00CXV18
669	02UYX.J.C00.D-1090	 | 	МПУ. Перечень объектов управления арматурой
670	02UYX.J.C00.D-1100	 | 	МПУ. Перечень объектов управления регулирующей арматурой
671	02UYX.J.C00.D-1110	 | 	МПУ. План на отметке -3.200
672	02UYX.J.C00.D-1120	 | 	СКУ ПЗ. Пожарная сигнализация
673	02UYX.J.C00.D-1140	 | 	СКУ ПЗ. Оповещение о пожаре
674	02UYX.J.C00.D-1160	 | 	СКУ ПЗ. Автоматическое порошковое пожаротушение
675	02UYX.J.C00.D-1180	 | 	Журналы контрольных кабелей в части автоматики
676	02UYX.J.C00.D-1190	 | 	МПУ. Журнал контрольных кабелей
677	02UYX.J.C00.D-1200	 | 	Теплотехнический контроль (КИП)
678	02UYX.J.C00.D-1210	 | 	МПУ. Программное обеспечение технических средств (2 этап) (ЕС0002)
679	02UYX.J.C00.D-1220	 | 	Схемы заполнения сборок 0,4 кВ
680	02UYX.J.C00.D-1230	 | 	МПУ. Схемы автоматизации (управление калорифером, вентилятором)
681	02UYX.J.C00.D-1240	 | 	МПУ. Перечень объектов управления механизмами
682	02UYX.J.C00.D-1250	 | 	Журналы контрольных кабелей в части автоматики (MB0002)
683	02UYX.R.CF0.D-1020	 | 	Перечень измерительных контуров РК
684	02UYX.R.CF0.D-1050	 | 	Кабельные соединения РК. Схемы внешних подключений РК
685	02UYX.R.CF0.D-1060	 | 	Журналы кабелей РК
686	02UYX.R.CFU.D-1040	 | 	Компоновочные чертежи оборудования радиационного контроля
687	03UBG.E.BCY.D-1010	 | 	РЗА КРУ 10 кВ. Принципиальные схемы
688	03UBG.E.BCY.D-1030	 | 	РЗА КРУ 10 кВ. Пояснительная записка, параметрирование
689	03UBG.E.BCY.D-1040	 | 	РЗА КРУ 10 кВ. Журнал контрольных кабелей
690	03UBG.E.BCY.D-1050	 | 	РЗА КРУ 10 кВ. Полные схемы
691	03UBG.E.BCY.D-1060	 | 	РЗА КРУ 10 кВ. Схемы подключения рядов зажимов
692	03UBG.E.CA1.D-1090	 | 	Журнал контрольных кабелей
693	03UBG.J.CXV.D-1000	 | 	(03UBG). МПУ. Задание заводу (1 этап)
694	03UBG.J.CXV.D-1010	 | 	(03UBG). МПУ. Программное обеспечение технических средств (2 этап)
695	03UBG.J.CY0.D-1000	 | 	(03UBG). Задание заводу на контроллеры АУПТ (1 этап)
696	03UBG.J.CYE.D-1000	 | 	(03UBG). Задание заводу на контроллер АУПС (1 этап)
697	03UBZ.J.CYE.D-1220	 | 	(03UBZ) СКУ ПЗ. Пожарная сигнализация
698	03UBZ.J.CYE.D-1230	 | 	(03UBZ) СКУ ПЗ. Автоматическое пожаротушение
699	03UGF.E.CA1.D-1060	 | 	Кабельный журнал контрольных кабелей (СКУ МПУ ОС, СКУ ПЗ, связь, СрА ОС)
700	03UGF.J.C00.D-1000	 | 	Монтажно-трассировочные чертежи импульсных линий
701	03UGF.J.C00.D-1010	 | 	Автоматизация. Схемы принципиальные
702	03UGF.J.C00.D-1020	 | 	Схемы внешних присоединений к шкафам автоматики
703	03UGF.J.C00.D-1030	 | 	СКУ ПЗ. Автоматическое водяное пожаротушение
704	03UGF.J.C00.D-1040	 | 	СКУ ПЗ. Журнал силовых и контрольных кабелей (автоматизация пожарная)
705	03UGF.J.C00.D-1060	 | 	Автоматизация. Журнал контрольных кабелей
706	03UGF.J.C00.D-1090	 | 	Теплотехнический контроль (КИП)
707	03UGF.J.C00.D-1100	 | 	Перечень измерительных контуров ТТК
708	03UGF.J.C00.D-1110	 | 	Кабельные соединения ТТК
709	03UGF.J.C00.D-1120	 | 	Трубные соединения ТТК
710	03UGF.J.C00.D-1130	 | 	Схемы внешних присоединений к шкафам КИП
711	03UGF.J.C00.D-1140	 | 	Журнал контрольных кабелей (КИП)
712	03UGF.J.C00.D-1150	 | 	Местные пункты управления. Задание заводу
713	03UGF.J.C00.D-1160	 | 	Задание на программное обеспечение технических средств СКУ ПЗ. Задание заводу
714	03UGF.J.C00.D-1170	 | 	Журнал контрольных кабелей (автоматизация пожарная)
715	03UGF.J.C00.D-1180	 | 	Теплотехнический контроль (КИП). Задание заводу
716	03UGF.J.CY0.D-1170	 | 	Система общестанционной телефонной связи
717	03UGF.J.CY0.D-1180	 | 	Система общестанционной телефонной связи. Кабельный журнал
718	03UGF.J.CY0.D-1190	 | 	Система оперативной громкоговорящей и телефонной связи
719	03UGF.J.CY0.D-1200	 | 	Система оперативной громкоговорящей и телефонной связи. Кабельный журнал
720	03UGF.J.CY0.D-1210	 | 	Система эксплуатационных радиотелефонов
721	03UGF.J.CY0.D-1220	 | 	Система эксплуатационных радиотелефонов. Кабельный журнал
722	03UGF.J.CY0.D-1230	 | 	Система технологического видеонаблюдения (промышленное телевидение)
723	03UGF.J.CY0.D-1240	 | 	Система технологического видеонаблюдения (промышленное телевидение). Кабельный журнал
724	03UGF.J.CY0.D-1250	 | 	Система оповещения и поиска персонала
725	03UGF.J.CY0.D-1260	 | 	Система оповещения и поиска персонала. Кабельный журнал
726	03UGF.J.CYE.D-1150	 | 	СКУ ПЗ. Автоматическая пожарная сигнализация
727	03UGF.J.CYE.D-1160	 | 	СКУ ПЗ. Журнал силовых и контрольных кабелей (пожарная сигнализация)
728	03UGF.T.C00.D-1050	 | 	Технологические решения
729	03UGG.J.C00.D-2000	 | 	ЗЗИ СКУ МПУ ОС. Этап 1
730	03UGG.J.C00.D-2010	 | 	ЗЗИ СКУ МПУ ОС. Этап 2
731	03UGG.J.C00.D-2020	 | 	СКУ МПУ ОС
732	03UGG.J.C00.D-2030	 | 	СКУ МПУ ОС. ТЗА
733	03UGG.J.C00.D-2040	 | 	СКУ ЭЧ ОС СН
734	03UGG.J.C00.D-2050	 | 	СКУ ПЗ ОС. Рабочие чертежи
735	03UGG.J.CY0.D-1000	 | 	Системы связи
736	03UGG.J.CYE.D-1040	 | 	СКУ ПЗ ОС. Сеть пожарной сигнализации
737	03UGG.J.CYE.D-1050	 | 	СКУ ПЗ ОС. Сеть оповещения и управление эвакуацией людей при пожаре
738	03UGM.T.G00.D-1000	 | 	Система водоотведения
739	03UGV.T.H00.D-1000	 | 	Система водоотведения
740	03UGW.T.G00.D-1000	 | 	Система водоотведения
741	03UKY.J.CYA.D-1000	 | 	Системы связи и сигнализации
742	03UKY.J.CYE.D-1010	 | 	Обеспечение пожарной безопасности
743	03UKY.J.CYE.D-1020	 | 	СКУ ПЗ ОС. Сеть пожарной сигнализации
744	03USW.J.C00.D-1000	 | 	Внеплощадочные сети связи. Кабельная продукция
745	03USW.J.C00.D-1010	 | 	Внеплощадочные сети АСУ ТП ОС. Кабельная продукция
746	03USZ.E.BJ0.D-1010	 | 	Электротехническая часть
747	03USZ.E.BJ0.D-1020	 | 	Кабельный журнал
748	03USZ.J.CY0.D-1000	 | 	Связь и сигнализация
749	03USZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
750	03UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
751	03UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
752	03UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
753	03UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
754	03UYP.J.C00.D-1010	 | 	Системы связи и сигнализации
755	03UYP.J.CY0.D-1010	 | 	Пожарная сигнализация и оповещение людей о пожаре
756	04UBG.E.BCY.D-1010	 | 	РЗА КРУ 10 кВ. Принципиальные схемы
757	04UBG.E.BCY.D-1030	 | 	РЗА КРУ 10 кВ. Пояснительная записка, параметрирование
758	04UBG.E.BCY.D-1040	 | 	РЗА КРУ 10 кВ. Полные схемы
759	04UBG.E.BCY.D-1050	 | 	РЗА КРУ 10 кВ. Схемы подключения рядов зажимов
760	04UBG.E.BCY.D-1060	 | 	РЗА КРУ 10 кВ. Журнал контрольных кабелей
761	04UBG.E.CA1.D-1090	 | 	Журнал контрольных кабелей
762	04UBG.J.CXV.D-1000	 | 	(04UBG). МПУ. Задание заводу (1 этап)
763	04UBG.J.CXV.D-1010	 | 	(04UBG). МПУ. Программное обеспечение технических средств (2 этап)
764	04UBG.J.CY0.D-1000	 | 	(04UBG). Задание заводу на контроллеры АУПТ (1 этап)
765	04UBG.J.CYE.D-1000	 | 	(04UBG). Задание заводу на контроллер АУПС (1 этап)
766	04UBZ.J.CYE.D-1260	 | 	(04UBZ) СКУ ПЗ. Пожарная сигнализация
767	04UBZ.J.CYE.D-1270	 | 	(04UBZ) СКУ ПЗ. Автоматическое пожаротушение
768	04UGF.E.EEE.D-1000	 | 	Электротехническая часть
769	04UGF.T.TTT.D-1000	 | 	Технологическая часть
770	04UGF.T.TTT.D-1010	 | 	Система водоотведения
771	04UGF.T.TTT.D-1020	 | 	Система водоснабжения
772	04UGG.J.C00.D-1000	 | 	КИПиА
773	04UGM.T.G00.D-1000	 | 	Система водоотведения
774	04UGV.T.H00.D-1000	 | 	Система водоотведения
775	04UGW.T.G00.D-1000	 | 	Система водоотведения
776	04UKY.J.00CYA.D-1020	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
777	04UKY.J.00CYC.D-1020	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
778	04UKY.J.00CYF.D-1020	 | 	Система часофикации. Журнал контрольных кабелей
779	04UKY.J.00CYY.D-1020	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
780	04UKY.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
781	04UKY.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
782	04UKY.J.CYE.D-1000	 | 	СКУ ПЗ. Оповещение о пожаре
783	04UKY.J.CYE.D-1010	 | 	СКУ ПЗ. Пожарная сигнализация
784	04UKY.J.CYE.D-1020	 | 	СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей
785	04UKY.J.CYE.D-1030	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
786	04UKY.J.CYF.D-1000	 | 	Система часофикации
787	04UKY.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
788	04UTZ.E.BJ0.D-1000	 | 	Электротехническая часть
789	04UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
790	04UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
791	04UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
792	04UYP.J.CY0.D-1010	 | 	Автоматизация пожарная
793	04UYP.J.CY0.D-1020	 | 	Пожарная сигнализация и оповещение людей о пожаре
794	05UBG.E.BCY.D-1010	 | 	РЗА КРУ 10 кВ. Принципиальные схемы
795	05UBG.E.BCY.D-1030	 | 	РЗА КРУ 10 кВ. Пояснительная записка, параметрирование
796	05UBG.E.BCY.D-1040	 | 	РЗА КРУ 10 кВ. Полные схемы
797	05UBG.E.BCY.D-1050	 | 	РЗА КРУ 10 кВ. Схемы подключения рядов зажимов
798	05UBG.E.BCY.D-1060	 | 	РЗА КРУ 10 кВ. Журнал контрольных кабелей
799	05UBG.E.CA1.D-1090	 | 	Журнал контрольных кабелей
800	05UBG.J.CXV.D-1000	 | 	(05UBG). МПУ. Задание заводу (1 этап)
801	05UBG.J.CXV.D-1010	 | 	(05UBG). МПУ. Программное обеспечение технических средств (2 этап)
802	05UBG.J.CY0.D-1000	 | 	(05UBG). Задание заводу на контроллеры АУПТ (1 этап)
803	05UBG.J.CYE.D-1000	 | 	(05UBG). Задание заводу на контроллер АУПС (1 этап)
804	05UBZ.J.CYE.D-1030	 | 	(05UBZ, 06UBZ) Автоматические установки водяного пожаротушения
805	05UBZ.J.CYE.D-1120	 | 	(05UBZ, 06UBZ) СКУ ПЗ. Пожарная сигнализация
806	05UBZ.J.CYE.D-1130	 | 	(05UBZ, 06UBZ) СКУ ПЗ. Автоматическое пожаротушение
807	05UBZ.J.JJJ.D-1150	 | 	(05UBZ, 06UBZ) СКУ ПЗ. Задание заводу на контроллеры
808	05UGG.J.C00.D-1000	 | 	КИПиА
809	05UGM.T.G00.D-1000	 | 	Система водоотведения
810	05UGV.T.H00.D-1000	 | 	Система водоотведения
811	05UGW.T.G00.D-1000	 | 	Система водоотведения
812	05UKY.J.00CYA.D-1020	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
813	05UKY.J.00CYC.D-1020	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
814	05UKY.J.00CYF.D-1020	 | 	Система часофикации. Журнал контрольных кабелей
815	05UKY.J.00CYY.D-1020	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
816	05UKY.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
817	05UKY.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
818	05UKY.J.CYE.D-1000	 | 	СКУ ПЗ. Оповещение о пожаре
819	05UKY.J.CYE.D-1010	 | 	СКУ ПЗ. Пожарная сигнализация
820	05UKY.J.CYE.D-1020	 | 	СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей
821	05UKY.J.CYE.D-1030	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
822	05UKY.J.CYF.D-1000	 | 	Система часофикации
823	05UKY.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
824	05UTZ.E.BJ0.D-1000	 | 	Заземление
825	05UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
826	05UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
827	05UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
828	05UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
829	05UYP.J.C00.D-1000	 | 	Релейная защита, автоматика и управление
830	05UYP.J.CY0.D-1000	 | 	Пожарная сигнализация и оповещение людей о пожаре
831	06UGG.J.C00.D-1000	 | 	Камера переключений. КИПиА
832	06UGM.T.G00.D-1000	 | 	Система водоотведения
833	06UGM.T.H00.D-1000	 | 	Технологические решения
834	06UKY.J.00CYA.D-1020	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
835	06UKY.J.00CYC.D-1020	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
836	06UKY.J.00CYF.D-1020	 | 	Система часофикации. Журнал контрольных кабелей
837	06UKY.J.00CYY.D-1020	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
838	06UKY.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
839	06UKY.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
840	06UKY.J.CYE.D-1000	 | 	СКУ ПЗ. Оповещение о пожаре
841	06UKY.J.CYE.D-1010	 | 	СКУ ПЗ. Пожарная сигнализация
842	06UKY.J.CYE.D-1020	 | 	СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей
843	06UKY.J.CYE.D-1030	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
844	06UKY.J.CYF.D-1000	 | 	Система часофикации
845	06UKY.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
846	06USZ.E.BJ0.D-1010	 | 	Электротехническая часть
847	06USZ.E.BJ0.D-1020	 | 	Кабельный журнал
848	06USZ.J.CY0.D-1000	 | 	Связь и сигнализация
849	06USZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
850	06UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
851	06UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
852	06UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
853	06UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
854	06UYP.J.C00.D-1110	 | 	КИП и сигнализация
855	07UBG.E.CA1.D-1000	 | 	КРУ 0.38 кВ. Журнал контрольных кабелей
856	07UBG.J.C00.D-1010	 | 	ПТК СКУ ЭЧ ОС СН. Схема структурная комплекса технических средств
857	07UBG.J.C00.D-1030	 | 	МПУ. Схемы внешних подключений к сборкам 0.38 кВ
858	07UBG.J.C00.D-1040	 | 	МПУ. Схемы заполнения сборок 0.38 кВ
859	07UBG.J.C00.D-1050	 | 	МПУ. Схемы питания шкафов вторичных преобразователей КИП
860	07UBG.J.C00.D-1090	 | 	МПУ. Схемы автоматизации
861	07UBG.J.C00.D-1100	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
862	07UBG.J.C00.D-1110	 | 	МПУ. Перечень объектов управления. Механизмы
863	07UBG.J.C00.D-1120	 | 	КРУ 0.38 кВ. Таблицы внешних подключений
864	07UBG.J.C00.D-1130	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ. Секция 00BCE. Таблицы внешних подключений. Часть 1
865	07UBG.J.C00.D-1140	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ. Секция 00BCF. Таблицы внешних подключений. Часть 1
866	07UBG.J.C00.D-1150	 | 	РЗ и СКУ ЭЧ. Общестанционные секции КРУ 10 кВ. Уставки защит
867	07UBG.J.C00.D-1160	 | 	Схемы ТТК
868	07UBG.J.C00.D-2055	 | 	МПУ. Задание заводу на сборки 0.38 кВ
869	07UBG.J.C00.D-2065	 | 	МПУ. Задание заводу на шкафы вторичных преобразователей КИП
870	07UBG.J.C00.D-2085	 | 	МПУ. Схемы внешних подключений кабелей к шкафам вторичных преобразователей КИП
871	07UBG.J.C00.D-2095	 | 	МПУ. Задание заводу (1 этап)
872	07UBG.J.C00.D-2105	 | 	МПУ. Программное обеспечение технических средств (2 этап) (EC0004)
873	07UBG.J.C00.D-2115	 | 	МПУ. Схемы внешних подключения кабелей к шкафам ПТК
874	07UBG.J.C00.D-2135	 | 	МПУ. Перечень объектов управления. Запорная арматура
875	07UBG.J.C00.D-2215	 | 	ПТК СКУ ЭЧ ОС СН. Таблицы внешних подключений
876	07UBG.J.C00.D-2225	 | 	ПТК СКУ ЭЧ ОС СН. Журнал кабелей от электрооборудования
877	07UBG.J.C00.D-2275	 | 	МПУ. Программное обеспечение технических средств (2 этап) (EC0005)
878	07UBG.J.C00.D-2285	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ. Секция 00BCE. Таблицы внешних подключений. Часть 2
879	07UBG.J.C00.D-2295	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ. Секция 00BCF. Таблицы внешних подключений. Часть 2
880	07UBG.J.CA1.D-1000	 | 	МПУ. Журнал контрольных кабелей
881	07UBG.J.CA1.D-1020	 | 	РЗ и СКУ ЭЧ. КРУ 10 кВ. Журнал контрольных кабелей
882	07UBG.J.CA1.D-1040	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
883	07UBG.J.CA1.D-1050	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
884	07UBG.J.CA1.D-1060	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
885	07UBG.J.CA1.D-1070	 | 	Система проводного радиотрансляционного вещания. Журнал контрольных кабелей
886	07UBG.J.CA1.D-1090	 | 	Система часофикации. Журнал контрольных кабелей
887	07UBG.J.CA1.D-1100	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
888	07UBG.J.CA1.D-1110	 | 	Журнал контрольных кабелей ТТК
889	07UBG.J.CA1.D-1140	 | 	Щит постоянного тока. Вторичная коммутация. Журнал контрольных кабелей
890	07UBG.J.CMS.D-0120	 | 	СКУ ПЗ. Автоматическое водяное пожаротушение
891	07UBG.J.CMS.D-0130	 | 	СКУ ПЗ. Автоматическое водяное пожаротушение. Журнал контрольных кабелей
892	07UBG.J.CMS.D-0140	 | 	СКУ ПЗ. Автоматическое водяное пожаротушение. Журнал силовых кабелей
893	07UBG.J.CYA.D-2000	 | 	Система общестанционной телефонной связи
894	07UBG.J.CYB.D-2000	 | 	Система оперативной громкоговорящей и телефонной связи
895	07UBG.J.CYC.D-2000	 | 	Система оповещения и поиска персонала
896	07UBG.J.CYE.D-0110	 | 	СКУ ПЗ. Пожарная сигнализация
897	07UBG.J.CYE.D-0120	 | 	СКУ ПЗ. Оповещение о пожаре
898	07UBG.J.CYE.D-0130	 | 	СКУ ПЗ. Системы вентиляции
899	07UBG.J.CYE.D-0140	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств СКУ ПЗ
900	07UBG.J.CYE.D-0150	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
901	07UBG.J.CYE.D-0160	 | 	СКУ ПЗ. Системы вентиляции. Журнал контрольных кабелей
902	07UBG.J.CYF.D-2000	 | 	Система часофикации
903	07UBG.J.CYN.D-2000	 | 	Система проводного радиотрансляционного вещания
904	07UBG.J.CYY.D-2000	 | 	Система эксплуатационных радиотелефонов
905	07UGV.J.C00.D-1010	 | 	Автоматичеcкий газовый контроль
906	07UGV.J.CYE.D-1000	 | 	Пожарная сигнализация
907	07UGV.T.H00.D-1000	 | 	Система водоотведения
908	07USZ.E.BJ0.D-1010	 | 	Электротехническая часть
909	07USZ.E.BJ0.D-1020	 | 	Кабельный журнал
910	07USZ.J.CY0.D-1000	 | 	Связь и сигнализация
911	07USZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
912	07UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
913	07UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
914	07UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
915	07UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
916	08UGV.J.CYE.D-1000	 | 	Пожарная сигнализация
917	08UGV.T.H00.D-1000	 | 	Система водоотведения
918	08USZ.E.BJ0.D-1010	 | 	Электротехническая часть
919	08USZ.E.BJ0.D-1020	 | 	Кабельный журнал
920	08USZ.J.CY0.D-1000	 | 	Связь и сигнализация
921	08USZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
922	08UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
923	08UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
924	08UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
925	08UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
926	09USZ.E.BJ0.D-1010	 | 	Электротехническая часть
927	09USZ.E.BJ0.D-1020	 | 	Кабельный журнал
928	09USZ.J.CY0.D-1000	 | 	Связь и сигнализация
929	09USZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
930	09UTZ.E.BJ0.D-1010	 | 	Электротехническая часть
931	09UTZ.E.BJ0.D-1020	 | 	Кабельный журнал
932	09UTZ.J.CY0.D-1000	 | 	Связь и сигнализация
933	09UTZ.J.CY0.D-1010	 | 	Связь и сигнализация. Кабельные журналы
934	1&UQC.T.PEB.D-1000	 | 	Трубопроводы системы охлаждения ответственных потребителей. Компенсатор разгруженный сбалансированный по давлению. ИТТ
