Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
810  | 10UJA.E.BA0.D-1000      |(11UBP). Схемы электрических соединений секций 10 кВ. Журнал силовых кабелей                                                           |AKU.0120.11UBP.0.EM.MB0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <На ВК (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На согласовании AN>                                               |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-15>      |-                                                                     |Смена дата статуса заказчика с <2022-10-13> на <2023-01-18>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
811  | 10UJA.E.B00.D-1100      |(11UBP). Схемы электрических соединений секций 10 кВ                                                                                   |AKU.0120.11UBP.0.EM.TB0001                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-04>      |-                                                                     |Смена дата статуса заказчика с <2022-10-06> на <2022-12-05>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
812  | 10UJA.E.BA0.D-1070      |(11UBP). Схемы электрических соединений щитов 0.4 кВ 1 канала. Журнал силовых кабелей                                                  |AKU.0120.11UBP.0.EM.MB0004                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-11-07> на <2022-11-04>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
813  | 10UJA.E.B00.D-1210      |(11UBP). Схемы электрических соединений щитов 0.4 кВ 1 канала                                                                          |AKU.0120.11UBP.0.EM.TB0004                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-30>      |-                                                                     |Смена дата статуса заказчика с <2022-10-12> на <2022-11-14>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
814  | 10UJA.E.B00.D-1440      |(11UBP). Схемы электрических соединений щитов постоянного тока 1 канала                                                                |AKU.0120.11UBP.0.EM.TB0003                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
815  | 10UJA.E.B00.D-1490      |(12UBP). Задание заводу на КРУ 10 кВ                                                                                                   |AKU.0120.12UBP.0.EM.EC0001                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-08-31> на <2023-01-05>|-                                                                                   |Титан-2=>АЭП                   |
816  | 10UJA.E.B00.D-1530      |(12UBP). Задание заводу на сборки 0.4 кВ 2 канала                                                                                      |AKU.0120.12UBP.0.EM.EC0005                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Передан в производство>                                           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-29>      |-                                                                     |Смена дата статуса заказчика с <2022-10-03> на <2022-12-08>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
817  | 10UJA.E.B00.D-1540      |(12UBP). Задание заводу на сборки инверторной сети 2 канала                                                                            |AKU.0120.12UBP.0.EM.EC0002                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-10-07> на <2022-12-02>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
818  | 10UJA.E.B00.D-1360      |(12UBP). Задание заводу на щиты 0.4 кВ 2 канала                                                                                        |AKU.0120.12UBP.0.EM.EC0004                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-29>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
819  | 10UJA.E.B00.D-1460      |(12UBP). Задание заводу на щиты постоянного тока 2 канала                                                                              |AKU.0120.12UBP.0.EM.EC0003                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
820  | 10UJA.E.BA0.D-1080      |(12UBP). Схемы электрических соединений сборок 0.4 кВ 2 канала. Журнал силовых кабелей                                                 |AKU.0120.12UBP.0.EM.MB0005                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-10-26> на <2022-10-25>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
821  | 10UJA.E.B00.D-1230      |(12UBP). Схемы электрических соединений сборок 0.4 кВ 2 канала                                                                         |AKU.0120.12UBP.0.EM.TB0005                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-10-28>      |-                                                                     |Смена дата статуса заказчика с <2022-10-12> на <2022-12-22>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
822  | 10UJA.E.BA0.D-1010      |(12UBP). Схемы электрических соединений секций 10 кВ. Журнал силовых кабелей                                                           |AKU.0120.12UBP.0.EM.MB0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <На ВК (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На согласовании AN>                                               |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-15>      |-                                                                     |Смена дата статуса заказчика с <2022-10-13> на <2023-01-18>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
823  | 10UJA.E.B00.D-1110      |(12UBP). Схемы электрических соединений секций 10 кВ                                                                                   |AKU.0120.12UBP.0.EM.TB0001                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <Выдан в производство (rev.C01)>|-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Передан в производство>                                           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-07-04>      |-                                                                     |Смена дата статуса заказчика с <2022-10-06> на <2023-01-03>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
824  | 10UJA.E.BA0.D-1110      |(12UBP). Схемы электрических соединений щитов 0.4 кВ 2 канала. Журнал силовых кабелей                                                  |AKU.0120.12UBP.0.EM.MB0004                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-11-07> на <2022-11-04>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
825  | 10UJA.E.B00.D-1240      |(12UBP). Схемы электрических соединений щитов 0.4 кВ 2 канала                                                                          |AKU.0120.12UBP.0.EM.TB0004                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК + (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Пройден ВК AN>                                                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-10-28>      |-                                                                     |Смена дата статуса заказчика с <2022-10-12> на <2022-11-14>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
826  | 10UJA.E.B00.D-1450      |(12UBP). Схемы электрических соединений щитов постоянного тока 2 канала                                                                |AKU.0120.12UBP.0.EM.TB0003                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
827  | 10UJA.E.CA0.D-1150      |Второй канал безопасности. КРУ 0.38 кВ. Журнал контрольных кабелей                                                                     |AKU.0120.10UJA.0.AE.MB0005                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-08-29> на <2023-01-25>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |Титан-2=>АЭП                   |
828  | 10UJA.E.CA0.D-1160      |Журнал кабелей системной шины                                                                                                          |AKU.0120.10UJA.0.AT.MB0001                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <К обработке от АЭП>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-15>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2023-02-06>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
829  | 10UJA.E.B00.D-1320      |КРУ 0.38 кВ СНЭ. Cекция 10BFJ. Таблицы внешних подключений                                                                             |AKU.0120.10UJA.BFJ.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-11-11>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
830  | 10UJA.E.B00.D-1330      |КРУ 0.38 кВ СНЭ. Cекция 10BGE. Таблицы внешних подключений                                                                             |AKU.0120.10UJA.BGE.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-11-11>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
831  | 10UJA.E.B00.D-1260      |КРУ 0.38 кВ. Секция 11BMA. Таблицы внешних подключений                                                                                 |AKU.0120.10UJA.BMA.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
832  | 10UJA.E.B00.D-1270      |КРУ 0.38 кВ. Секция 11BMC. Таблицы внешних подключений                                                                                 |AKU.0120.10UJA.BMC.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
833  | 10UJA.E.B00.D-1290      |КРУ 0.38 кВ. Секция 12BMB. Таблицы внешних подключений                                                                                 |AKU.0120.10UJA.BMB.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
834  | 10UJA.E.B00.D-1300      |КРУ 0.38 кВ. Секция 12BMD. Таблицы внешних подключений                                                                                 |AKU.0120.10UJA.BMD.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Пройден ВК AN>                         |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <в производстве>    |Титан-2=>АЭП                   |
835  | 10UJA.E.CA0.D-1140      |Первый канал безопасности. КРУ 0.38 кВ. Журнал контрольных кабелей                                                                     |AKU.0120.10UJA.0.AE.MB0004                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-06-30>      |-                                                                     |Смена дата статуса заказчика с <2022-08-29> на <2023-01-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |Титан-2=>АЭП                   |
836  | 10UJA.E.CA0.D-1210      |РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Второй канал безопасности. Журнал контрольных кабелей                                                      |AKU.0120.10UJA.0.AE.MB0008                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На согласовании AN>                        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-01>      |-                                                                     |Смена дата статуса заказчика с <2022-11-07> на <2023-02-07>|Смена ожидаемая дата выдачи рд в производство с <2022-11-21> на <2023-03-02>        |Титан-2=>АЭП                   |
837  | 10UJA.E.CA0.D-1200      |РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Первый канал безопасности. Журнал контрольных кабелей                                                      |AKU.0120.10UJA.0.AE.MB0007                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-01>      |-                                                                     |Смена дата статуса заказчика с <2022-11-10> на <2023-02-14>|Смена ожидаемая дата выдачи рд в производство с <2022-11-13> на <2023-02-16>        |Титан-2=>АЭП                   |
838  | 10UJA.E.B00.D-1150      |РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Секция 11BDA. Таблицы внешних подключений                                                                  |AKU.0110.10UJA.BDA.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-15>      |-                                                                     |Смена дата статуса заказчика с <2022-10-12> на <2022-11-28>|-                                                                                   |Титан-2=>АЭП                   |
839  | 10UJA.E.B00.D-1160      |РЗ и СКУ ЭЧ. КРУ 10 кВ САЭ. Секция 12BDB Таблицы внешних подключений                                                                   |AKU.0110.10UJA.BDB.AE.MA0001                                                 |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-15>      |-                                                                     |Смена дата статуса заказчика с <2022-10-12> на <2022-11-28>|-                                                                                   |Титан-2=>АЭП                   |
840  | 10UJA.E.B00.D-1520      |РЗ и СКУ ЭЧ. Секции КРУ 10 кВ САЭ. Питающие элементы. Задание заводу                                                                   |AKU.0120.10UJA.0.AE.EC0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <Пройден ВК AN>                             |Смена дата выпуска рд по договору подрядчика с <None> на <2022-09-01>      |-                                                                     |Смена дата статуса заказчика с <2022-10-25> на <2023-01-11>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>    |Титан-2=>АЭП                   |
841  | 10UJA.E.B00.D-1090      |РЗ и СКУ ЭЧ. Секции КРУ 10 кВ САЭ. Трансформаторы 10/0.4 кВ. Задание заводу                                                            |AKU.0120.10UJA.0.AE.EC0002                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-09-01>      |-                                                                     |Смена дата статуса заказчика с <2022-09-14> на <2022-11-24>|-                                                                                   |Титан-2=>АЭП                   |
842  | 10UJA.E.B00.D-1080      |РЗ и СКУ ЭЧ. Секции КРУ 10 кВ САЭ. Электродвигатели. Задание заводу                                                                    |AKU.0120.10UJA.0.AE.EC0003                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-09-01>      |-                                                                     |Смена дата статуса заказчика с <2022-09-14> на <2022-11-11>|-                                                                                   |Титан-2=>АЭП                   |
843  | 10UJA.E.BAU.D-1010      |(10UBB). Чертежи заземления                                                                                                            |AKU.0120.10UJA.0.ET.TB0001                                                   |-                                                      |Смена статус заказчика с <(rev.C02)> на <ВК - (rev.C02)>                      |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-19> на <2022-12-14>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |АЭП                            |
844  | 10UJA.E.BAU.D-1040      |(10UKA) Чертежи заземления                                                                                                             |AKU.0120.10UJA.0.ET.TB0005                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-04-26>      |-                                                                     |Смена дата статуса заказчика с <2022-10-27> на <2022-10-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
845  | 10UJA.E.BAU.D-1020      |(11UBP). Чертежи заземления                                                                                                            |AKU.0120.10UJA.0.ET.TB0003                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-04-29>      |-                                                                     |Смена дата статуса заказчика с <2022-05-12> на <2022-12-16>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |Титан-2=>АЭП                   |
846  | 10UJA.E.BAU.D-1030      |(12UBP). Чертежи заземления                                                                                                            |AKU.0120.10UJA.0.ET.TB0004                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |Смена дата выпуска рд по договору подрядчика с <None> на <2022-05-06>      |-                                                                     |Смена дата статуса заказчика с <2022-10-27> на <2022-12-05>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-02>        |Титан-2=>АЭП                   |
847  | 10UJA.E.BAU.D-1000      |Чертежи заземления гермообъема и межоболочечного пространства                                                                          |AKU.0120.10UJA.0.ET.TB0002                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C02)> на <ВК - (rev.C02)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-31> на <2022-12-16>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>        |АЭП                            |
848  | 10UJA.E.BJ0.D-1110      |Электрическое освещение и розеточная сеть обстройки здания 10UJA (10UKA) на отм. -5.400 в осях 1-3                                     |AKU.0120.10UJA.0.EW.LH0001                                                   |-                                                      |Смена статус заказчика с <ВК - (rev.C02)> на <Выдан в производство (rev.C02)> |-                                                         |Смена статус текущей ревизии с <Comments from Akkuyu Nuclear to T2 / Замечания от Аккую Нуклеар в Т2> на <Передан в производство>                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2023-01-31>|Смена ожидаемая дата выдачи рд в производство с <2022-11-13> на <в производстве>    |АЭП                            |
849  | 10UJA.E.BJ0.D-1220      |Электрическое освещение и розеточная сеть обстройки здания 10UJA на отм. +3.600, +4.200                                                |AKU.0120.10UJA.0.EW.LH0005                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На согласовании AN>                                               |Смена дата выпуска рд по договору подрядчика с <None> на <2022-09-30>      |-                                                                     |Смена дата статуса заказчика с <2022-10-20> на <2023-02-01>|Смена ожидаемая дата выдачи рд в производство с <2022-11-21> на <2023-03-02>        |Титан-2=>АЭП                   |
