Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
10   | 06UKY.J.CYE.D-1020      |СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей                                                                                |AKU.0179.06UKY.CYE.PS.MB0002                                                 |Смена пакет рд с <None> на <02.31.6-U0-3-0012>         |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На корректировке у разработчика>                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-27>      |-                                                                                   |Титан-2=>ОВСК(ПСГ)             |
11   | 06UKY.J.CYE.D-1030      |СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей                                                                              |AKU.0179.06UKY.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <02.31.6-U0-3-0011>         |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На корректировке у разработчика>                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-27>      |-                                                                                   |Титан-2=>ОВСК(ПСГ)             |
12   | 10UQR.J.C00.D-1500      |СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей                                                                                |AKU.0179.10UQR.CYE.PS.MB0002                                                 |Смена пакет рд с <None> на <03.15-U1-3-0020>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На согласовании АЭП>                                                                   |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
13   | 10UQR.J.C00.D-1510      |СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей                                                                              |AKU.0179.10UQR.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <03.15-U1-3-0019>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На согласовании АЭП>                                                                   |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
14   | 00USV.J.B00.D-1020      |Система контроля и управления электротехническим оборудованием общестанционных собственных нужд (СКУ ЭЧ ОС СН)                         |AKU.0179.00USV.0.AE.TB0002                                                   |Смена пакет рд с <None> на <03.37-U0-3-0009>           |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |Смена дата выпуска рд по графику с заказчиком с <None> на <2022-04-01>|Смена дата статуса заказчика с <None> на <2023-01-16>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-29> на <2023-03-02>        |JV=>Титан-2                    |
15   | 00USV.J.CYE.D-1000      |СКУ ПЗ ОС. Задание заводу на программное обеспечение и производство технических средств (Этап 1)                                       |AKU.0179.00USV.CYE.AP.EC0001                                                 |Смена пакет рд с <None> на <03.37-U0-3-0017>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-28> на <2023-03-02>        |СС КТ-2                        |
16   | 00USV.J.CYE.D-1010      |СКУ ПЗ ОС. Задание заводу на программное обеспечение и производство технических средств (Этап 2)                                       |AKU.0179.00USV.CYE.AP.EC0002                                                 |Смена пакет рд с <None> на <03.37-U0-3-0018>           |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-02>      |-                                                                                   |СС КТ-2                        |
17   | 00USV.J.CYE.D-1610      |СКУ ПЗ ОС. Задание на производство технических средств ПС и СОУЭ (Этап 2)                                                              |AKU.0179.00USV.CYE.PS.EC0001                                                 |Смена пакет рд с <None> на <03.37-U0-3-0022>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-03> на <2023-02-16>        |СС КТ-2                        |
18   | 00USV.J.C00.D-1050      |СКУ ПЗ ОС. Рабочие чертежи                                                                                                             |AKU.0179.00USV.CYE.AP.TB0001                                                 |Смена пакет рд с <None> на <03.37-U0-3-0021>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <На корректировке у разработчика>           |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-28> на <2023-03-02>        |СС КТ-2                        |
19   | 00UTF.J.C00.D-2060      |МПУ. Задание заводу на шкафы вторичных преобразователей КИП                                                                            |AKU.0179.00UTF.0.AT.EC0001                                                   |Смена пакет рд с <None> на <03.32-U0-3-0046>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-10> на <2023-03-23>        |Титан-2=>ВПЭП                  |
20   | 00UYH.J.CYC.D.1000      |Система оповещения и поиска персонала                                                                                                  |AKU.2025.00UYH.CYC.SS.TB0001                                                 |Смена пакет рд с <None> на <03.57-U0-3-0029>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-22> на <2023-01-31>|Смена ожидаемая дата выдачи рд в производство с <2023-02-12> на <2023-04-11>        |JV=>MALTA YAPI                 |
21   | 00UYH.J.CYS.D.1000      |Система радиосвязи                                                                                                                     |AKU.2025.00UYH.CYS.SS.TB0001                                                 |Смена пакет рд с <None> на <03.57-U0-3-0031>           |-                                                                             |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-12> на <2023-04-03>        |JV=>MALTA YAPI                 |
22   | 00UYH.J.CYF.D.1000      |Система часофикации                                                                                                                    |AKU.2025.00UYH.CYF.SS.TB0001                                                 |Смена пакет рд с <None> на <03.57-U0-3-0030>           |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <None> на <На согласовании AN>                                                                                    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-18>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-12> на <2023-04-11>        |JV=>MALTA YAPI                 |
23   | 00UYH.J.JJJ.D-1290      |СКУ МПУ ОС. Задание заводу на ПТК                                                                                                      |AKU.2025.00UYH.CXV.AT.EC0001                                                 |Смена пакет рд с <None> на <03.57-U0-3-0033>           |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-19>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-25> на <2023-04-07>        |JV=>MALTA YAPI                 |
24   | 00UYH.J.JJJ.D-1280      |СКУ ПЗ. Задание заводу на контроллер                                                                                                   |AKU.2025.00UYH.0.PS.EC0001                                                   |Смена пакет рд с <None> на <03.57-U0-3-0032>           |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |-                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-19>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-16> на <2023-03-31>        |JV=>MALTA YAPI                 |
