Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
11   | 01UKY.T.SGA.D-1000      |Водопровод противопожарный общестанционный                                                                                             |AKU.0179.01UKY.SGA.PT.TB0001                                                 |Смена пакет рд с <None> на <02.31.1-U0-2-0003>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-04-05>        |Титан-2=>ВПЭП                  |
12   | 02UKY.T.SGA.D-1000      |Водопровод противопожарный общестанционный                                                                                             |AKU.0179.02UKY.SGA.PT.TB0001                                                 |Смена пакет рд с <None> на <02.31.2-U0-2-0002>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-03-14>        |Титан-2=>ВПЭП                  |
13   | 03UKY.T.SGA.D-1000      |Водопровод противопожарный общестанционный                                                                                             |AKU.0179.03UKY.SGA.PT.TB0001                                                 |Смена пакет рд с <None> на <02.31.3-U0-2-0002>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-03-18>        |Титан-2=>ВПЭП                  |
14   | 00UYP.T.S00.D-1000      |Внутриплощадочные сети водопровода GKD, SGA                                                                                            |AKU.1480.00UYP.0.NW.TB0001                                                   |Смена пакет рд с <None> на <03.41-U0-2-0038>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>        |Титан-2=>ТП                    |
15   | 00UYP.T.GQA.D-1000      |Внутриплощадочные сети канализации GQA                                                                                                 |AKU.1480.00UYP.0.NW.TB0002                                                   |Смена пакет рд с <None> на <03.41-U0-2-0039>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>        |Титан-2=>ТП                    |
16   | 00UYP.T.G00.D-1000      |Внутриплощадочные сети канализации GUD, GMA, GML                                                                                       |AKU.1480.00UYP.0.NW.TB0003                                                   |Смена пакет рд с <None> на <03.41-U0-2-0040>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-17> на <2023-03-19>        |Титан-2=>ТП                    |
17   | 10UQA.T.PA0.D-1000      |Система основной охлаждающей воды. Монтажно-сборочные чертежи трубопроводов (10PAB)                                                    |AKU.1324.10UQA.PAB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0005>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>C-плюс            |
18   | 10UQA.T.P00.D-1000      |Система охлаждающей воды неответственных потребителей здания 10UMA. Монтажно-сборочные чертежи трубопроводов (10РС01)                  |AKU.1324.10UQA.PCB.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0009>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |Смена дата выпуска рд по графику с заказчиком с <None> на <2022-08-19>|-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>C-плюс            |
19   | 10UQA.T.GAF.D-2010      |Система подачи морской воды на опре-ую установку 10, 01-02UXA (10GAF). Монтажно-сборочные чертежи трубопроводов                        |AKU.1324.10UQA.GAF.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0068>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>C-плюс                |
20   | 10UQA.T.TTT.D-1010      |Установочные чертежи гидромеханического оборудования                                                                                   |AKU.1324.10UQA.PAA.TW.TB0001                                                 |Смена пакет рд с <None> на <02.78-U1-2-0011>           |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                   |Смена дата выпуска рд по договору подрядчика с <None> на <2021-12-24>      |Смена дата выпуска рд по графику с заказчиком с <None> на <2022-08-19>|Смена дата статуса заказчика с <2022-12-23> на <2023-01-03>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>C-плюс            |
