Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
698  | 00UAB.J.JJJ.D-1060      |СКУ ПЗ. Автоматическое пожаротушение                                                                                                   |AKU.1480.00UAB.0.AP.TB0004                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-28> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
699  | 00UAB.J.JJJ.D-1080      |СКУ ПЗ. Задание заводу на контроллеры                                                                                                  |AKU.1480.00UAB.0.AP.EC0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-28> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
700  | 00UAB.J.JJJ.D-1070      |СКУ ПЗ. Кабельные журналы                                                                                                              |AKU.1480.00UAB.0.AP.MB0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-12> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
701  | 00UAB.J.JJJ.D-1050      |СКУ ПЗ. Пожарная сигнализация                                                                                                          |AKU.1227.00UAB.0.PS.TB0002                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2020-08-03> на <2020-07-13>|Смена ожидаемая дата выдачи рд в производство с <2023-01-28> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
702  | 00UAB.J.JJJ.D-1090      |СКУ ПЗ. Система оповещения и управления эвакуацией (СОУЭ)                                                                              |AKU.1227.00UAB.0.PS.TB0003                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2020-11-27> на <2020-11-20>|Смена ожидаемая дата выдачи рд в производство с <2023-01-28> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
703  | 00UAB.J.JJJ.D-1010      |Схемы автоматизации (местный щит управления)                                                                                           |AKU.1480.00UAB.0.AK.TB0006                                                   |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-09> на <2023-07-25>        |Титан-2=>ТП=>ОЭС               |
704  | 00UAB.T.S00.D-1010      |Вентиляция. Компоновочные чертежи                                                                                                      |AKU.1227.00UAB.SAC.HV.TB0002                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-08> на <2022-11-07>|-                                                                                   |JV=>Титан-2=>ТП=>ОЭС           |
705  | 00UAB.T.S00.D-1000      |Вентиляция. Принципиальные схемы                                                                                                       |AKU.1227.00UAB.SAC.HV.TB0001                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2021-10-12> на <2021-09-16>|-                                                                                   |JV=>Титан-2=>SEP=>Львовский ТЭП|
706  | 00UAB.T.S00.D-1020      |Вентиляция. Установочные чертежи оборудования                                                                                          |AKU.1227.00UAB.SAC.HV.TB0003                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-23> на <2021-09-29>|-                                                                                   |JV=>Титан-2=>SEP=>Львовский ТЭП|
707  | 00UAC.E.EEE.D-1130      |Задание заводу на сборки 0.4 кВ                                                                                                        |AKU.1227.00UAC.0.ET.TB0010                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2022-11-07>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |JV=>Титан-2=>ЭТС               |
708  | 00UAC.E.EEE.D-1120      |Задание заводу на секции 0,4 кВ                                                                                                        |AKU.1227.00UAC.0.ET.TB0009                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-03> на <2022-09-22>|-                                                                                   |JV=>Титан-2=>ЭТС               |
709  | 00UAC.E.BUJ.D-1000      |Задание заводу на шкафы распределения оперативного тока                                                                                |AKU.1480.00UAC.BUJ.ET.EC0001                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2023-01-26>      |-                                                                     |Смена дата статуса заказчика с <2022-10-28> на <2022-12-27>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-05-25>        |Титан-2=>ТП=>ОЭС               |
710  | 00UAC.E.EEE.D-1140      |Задание заводу на щиты постоянного тока                                                                                                |AKU.1480.00UAC.0.ET.TB0011                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |-                                                                          |-                                                                     |-                                                          |-                                                                                   |JV=>Титан-2=>ТП=>ОЭС           |
711  | 00UAC.E.BAU.D-1060      |Молниезащита и заземление                                                                                                              |AKU.1227.00UAC.0.ET.TB0005                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-05-12> на <2022-03-23>|-                                                                                   |JV=>Титан-2=>ТП=>SEP=>ОЭС      |
712  | 00UAC.E.B00.D-1020      |Схемы электрических соединений инверторных сборок                                                                                      |AKU.1480.00UAC.0.ET.TB0003                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-01>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-09> на <2023-04-02>        |JV=>Титан-2=>ТП=>ОЭС           |
713  | 00UAC.E.B00.D-1010      |Схемы электрических соединений сборок 0,4 кВ                                                                                           |AKU.1480.00UAC.0.ET.TB0002                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-13> на <2022-12-21>|Смена ожидаемая дата выдачи рд в производство с <2022-12-13> на <2023-09-25>        |JV=>Титан-2=>ТП=>ОЭС           |
714  | 00UAC.E.B00.D-1000      |Схемы электрических соединений секций 0,4 кВ                                                                                           |AKU.1480.00UAC.0.ET.TB0001                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-13> на <2023-02-01>|Смена ожидаемая дата выдачи рд в производство с <2023-01-10> на <2023-02-28>        |JV=>Титан-2=>ТП=>ОЭС           |
715  | 00UAC.E.B00.D-1030      |Схемы электрических щитов постоянного тока                                                                                             |AKU.1480.00UAC.0.ET.TB0004                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |-                                                         |Смена статус текущей ревизии с <DD elaboration is started / Разработка РД начата> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-08-25> на <2023-01-27>|Смена ожидаемая дата выдачи рд в производство с <2023-02-09> на <в производстве>    |JV=>Титан-2=>ТП=>ОЭС           |
716  | 00UAC.E.BJ0.D-1050      |Электрическое освещение                                                                                                                |AKU.1227.00UAC.0.EW.TB0001                                                   |-                                                      |-                                                                             |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                   |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2022-12-22>|Смена ожидаемая дата выдачи рд в производство с <2022-12-01> на <2023-06-25>        |JV=>Титан-2=>ТП=>ОЭС           |
717  | 00UAC.J.CYE.D-1000      |(00UAC). Задание заводу на контроллер АУПС (1 этап)                                                                                    |AKU.1227.00UAC.CYE.AP.EC0001                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-03-15> на <2022-03-14>|Смена ожидаемая дата выдачи рд в производство с <2023-02-18> на <2023-08-24>        |Титан-2=>ТП=>ОЭС               |
718  | 00UAC.J.CY0.D-1000      |(00UAC). Задание заводу на контроллеры АУПТ (1 этап)                                                                                   |AKU.1480.00UAC.0.AP.EC0002                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-16>      |Смена ожидаемая дата выдачи рд в производство с <2023-03-17> на <2023-03-02>        |Титан-2=>ТП=>ОЭС               |
719  | 00UAC.J.CXV.D-1000      |(00UAC). МПУ. Задание заводу (1 этап)                                                                                                  |AKU.1227.00UAC.CXV.AK.EC0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <ВК + (rev.C01)>                 |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-26> на <2022-11-30>|Смена ожидаемая дата выдачи рд в производство с <2022-12-10> на <в производстве>    |JV=>Титан-2=>ТП=>ОЭС           |
720  | 00UAC.J.CXV.D-1010      |(00UAC). МПУ. Программное обеспечение технических средств (2 этап)                                                                     |AKU.1480.00UAC.CXV.AK.EC0002                                                 |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-27> на <2023-09-25>        |JV=>Титан-2=>ТП=>ОЭС           |
721  | 00UAC.J.JJJ.D-1050      |Внешние присоединения к МЩУ                                                                                                            |AKU.1480.00UAC.0.AK.TB0003                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-19>      |Смена ожидаемая дата выдачи рд в производство с <2022-12-18> на <2023-03-30>        |JV=>Титан-2=>ТП=>ОЭС           |
722  | 00UAC.J.JJJ.D-1020      |Документация в части КИП                                                                                                               |AKU.1227.00UAC.0.AK.TB0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-10> на <2022-10-04>|-                                                                                   |JV=>Титан-2=>ЭТС               |
723  | 00UAC.J.JJJ.D-1040      |Задание заводу на МЩУ                                                                                                                  |AKU.1480.00UAC.0.AK.EC0001                                                   |-                                                      |Смена статус заказчика с <None> на <Выдан в производство (rev.C01)>           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-03>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-28> на <в производстве>    |JV=>Титан-2=>ТП=>ОЭС           |
724  | 00UAC.J.JJJ.D-1070      |СКУ ПЗ. Автоматическое водяное пожаротушение                                                                                           |AKU.1480.00UAC.0.AP.TB0001                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-30>      |Смена ожидаемая дата выдачи рд в производство с <2023-03-10> на <2023-04-03>        |JV=>Титан-2=>ТП=>ОЭС           |
725  | 00UAC.J.JJJ.D-1080      |СКУ ПЗ. Автоматическое газовое пожаротушение                                                                                           |AKU.1480.00UAC.0.AP.TB0002                                                   |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-10> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
726  | 00UAC.J.JJJ.D-1100      |СКУ ПЗ. Задание заводу на контроллеры                                                                                                  |AKU.1480.00UAC.0.AP.EC0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-04> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
727  | 00UAC.J.JJJ.D-1090      |СКУ ПЗ. Кабельные журналы                                                                                                              |AKU.1480.00UAC.0.AP.MB0001                                                   |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-04-12> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
728  | 00UAC.J.JJJ.D-1060      |СКУ ПЗ. Пожарная сигнализация                                                                                                          |AKU.1227.00UAC.0.PS.TB0001                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2021-04-08> на <2021-03-23>|Смена ожидаемая дата выдачи рд в производство с <2023-03-10> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
729  | 00UAC.J.JJJ.D-1110      |СКУ ПЗ. Система оповещения и управления эвакуацией (СОУЭ)                                                                              |AKU.1480.00UAC.0.PS.TB0002                                                   |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-10> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
730  | 00UAC.J.JJJ.D-1030      |Схемы автоматизации (МЩУ)                                                                                                              |AKU.1480.00UAC.0.AK.TB0002                                                   |-                                                      |Смена статус заказчика с <None> на <ВК - (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-19>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-09> на <2023-03-30>        |JV=>Титан-2=>ТП=>ОЭС           |
731  | 00UAC.T.SG0.D-1020      |Автоматические установки газового пожаротушения                                                                                        |AKU.1480.00UAC.SGE.PT.TB0001                                                 |-                                                      |-                                                                             |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD elaboration is started / Разработка РД начата>                                                                                        |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-04> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
732  | 00UAC.T.S00.D-1010      |Вентиляция. Компоновочные чертежи                                                                                                      |AKU.1480.00UAC.SAC.HV.TB0002                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-02> на <NaT>       |Смена ожидаемая дата выдачи рд в производство с <2023-01-10> на <в производстве>    |JV=>Титан-2=>ТП=>ОЭС           |
733  | 00UAC.T.S00.D-1020      |Вентиляция. Установочные чертежи оборудования                                                                                          |AKU.1227.00UAC.SAC.HV.TB0003                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-04> на <2022-09-22>|-                                                                                   |JV=>Титан-2=>ТП=>ОЭС           |
734  | 00UAC.T.S00.D-1000      |Отопление и вентиляция. Принципиальные схемы                                                                                           |AKU.1227.00UAC.SAC.HV.TB0001                                                 |-                                                      |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>            |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-02> на <2022-12-14>|Смена ожидаемая дата выдачи рд в производство с <2022-11-21> на <в производстве>    |JV=>Титан-2=>ЭТС               |
735  | 00UAC.T.S00.D-1030      |Отопление                                                                                                                              |AKU.1480.00UAC.SBC.HV.TB0001                                                 |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-15> на <в производстве>    |JV=>Титан-2=>ТП=>ОЭС           |
736  | 10UBA.E.B00.D-1000      |Чертежи заземления                                                                                                                     |AKU.0120.10UBA.0.ET.TB0001                                                   |-                                                      |Смена статус заказчика с <На ВК (rev.C01)> на <ВК - (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                   |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-19> на <2022-11-11>|Смена ожидаемая дата выдачи рд в производство с <2022-11-17> на <2023-02-16>        |АЭП                            |
737  | 10UBA.T.S00.D-1010      |Аксонометрические схемы cистем вентиляции                                                                                              |AKU.0120.10UBA.0.HV.TB0004                                                   |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2021-12-06> на <2021-11-27>|-                                                                                   |АЭП                            |
738  | 10UBA.T.S00.D-1070      |Компоновочные чертежи вентиляции на отметке +12.600                                                                                    |AKU.0120.10UBA.0.HV.TB0010                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C02)> на <ВК + (rev.C03)>                 |Смена текущая ревизия с <C02> на <C03>                    |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-06-21> на <2023-01-23>|-                                                                                   |АЭП                            |
739  | 10UBA.T.S00.D-1050      |Компоновочные чертежи вентиляции на отметке +4.200                                                                                     |AKU.0120.10UBA.0.HV.TB0008                                                   |-                                                      |Смена статус заказчика с <ВК + (rev.C02)> на <ВК + (rev.C03)>                 |Смена текущая ревизия с <C02> на <C03>                    |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-06-21> на <2023-01-23>|-                                                                                   |АЭП                            |
